volume,date,MW_Prediction
806532.0,2020-11-26,779683.94
812879.0,2020-11-27,776599.3
739330.0,2020-11-28,718566.0
739000.0,2020-11-29,717893.94
773177.0,2020-11-30,779683.94
820362.0,2020-12-01,779683.94
832292.0,2020-12-02,779683.94
860322.0,2020-12-03,779683.94
823106.0,2020-12-04,776599.3
769392.0,2020-12-05,718566.0
789168.0,2020-12-06,717893.94
874629.0,2020-12-07,779683.94
871849.0,2020-12-08,779683.94
871091.0,2020-12-09,779683.94
843938.0,2020-12-10,779683.94
821243.0,2020-12-11,776599.3
756219.0,2020-12-12,718566.0
730220.0,2020-12-13,717893.94
766755.0,2020-12-14,779683.94
799860.0,2020-12-15,779683.94
789262.0,2020-12-16,779683.94
779073.0,2020-12-17,779683.94
729282.0,2020-12-18,776599.3
651793.0,2020-12-19,718566.0
670964.0,2020-12-20,717893.94
770505.0,2020-12-21,750840.2
785011.0,2020-12-22,740739.06
748331.0,2020-12-23,717255.56
703850.0,2020-12-24,717255.56
690678.0,2020-12-25,717255.56
604903.0,2020-12-26,663559.9
650317.0,2020-12-27,666669.9
749521.0,2020-12-28,721037.6
772139.0,2020-12-29,721037.6
791493.0,2020-12-30,721037.6
791544.0,2020-12-31,721037.6
731487.0,2021-01-01,726426.6
749645.0,2021-01-02,680707.1
750399.0,2021-01-03,703851.1
839734.0,2021-01-04,818234.06
860164.0,2021-01-05,818234.06
890637.0,2021-01-06,818234.06
898124.0,2021-01-07,818234.06
888499.0,2021-01-08,818234.06
816634.0,2021-01-09,751852.56
788147.0,2021-01-10,749857.5
799173.0,2021-01-11,818234.06
837391.0,2021-01-12,818234.06
863747.0,2021-01-13,818234.06
853647.0,2021-01-14,818234.06
868694.0,2021-01-15,818234.06
732118.0,2021-01-16,751852.56
719893.0,2021-01-17,749857.5
807603.0,2021-01-18,818234.06
789419.0,2021-01-19,818234.06
784973.0,2021-01-20,818234.06
781346.0,2021-01-21,818234.06
799229.0,2021-01-22,818234.06
781330.0,2021-01-23,751852.56
801648.0,2021-01-24,749857.5
840254.0,2021-01-25,818234.06
883622.0,2021-01-26,818234.06
843770.0,2021-01-27,818234.06
789992.0,2021-01-28,818234.06
765535.0,2021-01-29,818234.06
723504.0,2021-01-30,751852.56
778090.0,2021-01-31,745514.6
858759.0,2021-02-01,818234.06
805062.0,2021-02-02,818234.06
800732.0,2021-02-03,818234.06
815819.0,2021-02-04,818234.06
782451.0,2021-02-05,818234.06
720686.0,2021-02-06,751852.56
726762.0,2021-02-07,749857.5
855565.0,2021-02-08,818234.06
885535.0,2021-02-09,818234.06
888517.0,2021-02-10,818234.06
894588.0,2021-02-11,818234.06
850310.0,2021-02-12,818234.06
782017.0,2021-02-13,751852.56
757806.0,2021-02-14,744883.9
794081.0,2021-02-15,814952.0
755130.0,2021-02-16,814952.0
741948.0,2021-02-17,814952.0
713876.0,2021-02-18,814952.0
717319.0,2021-02-19,814952.0
624229.0,2021-02-20,739422.25
667548.0,2021-02-21,735735.6
758693.0,2021-02-22,811492.94
674907.0,2021-02-23,811492.94
673691.0,2021-02-24,811492.94
716392.0,2021-02-25,811492.94
730763.0,2021-02-26,811492.94
666892.0,2021-02-27,739422.25
669806.0,2021-02-28,735735.6
776032.0,2021-03-01,811492.94
795572.0,2021-03-02,811492.94
823617.0,2021-03-03,811492.94
809641.0,2021-03-04,811492.94
803874.0,2021-03-05,811492.94
735108.0,2021-03-06,739422.25
714095.0,2021-03-07,729356.4
782571.0,2021-03-08,794416.06
741936.0,2021-03-09,787132.1
733348.0,2021-03-10,787132.1
679650.0,2021-03-11,779655.94
678757.0,2021-03-12,779655.94
634730.0,2021-03-13,703274.1
639319.0,2021-03-14,699587.5
742252.0,2021-03-15,764215.0
726210.0,2021-03-16,764215.0
748687.0,2021-03-17,764215.0
755834.0,2021-03-18,764215.0
730618.0,2021-03-19,764215.0
676928.0,2021-03-20,686878.2
663108.0,2021-03-21,683191.56
724223.0,2021-03-22,764215.0
705993.0,2021-03-23,764215.0
698927.0,2021-03-24,764215.0
672793.0,2021-03-25,744217.0
651781.0,2021-03-26,744217.0
595381.0,2021-03-27,666766.3
556145.0,2021-03-28,647733.75
